1756067201, 10m, 28450839, FT8, M1TZR, IO83WK, 223, 'Rx', PU5FLP, GG52FQ, 108, 1
1756067202, 10m, 28451285, FT8, M1TZR, IO83WK, 223, 'Rx', DN9BT, JO40BE, 230, -9
1756067231, 10m, 28452243, FT8, M1TZR, IO83WK, 223, 'Rx', EA2A, IN92TD, 281, 14
1756067231, 10m, 28451284, FT8, M1TZR, IO83WK, 223, 'Rx', IK2ZJR, JN45NT60, 248, 5
1756067220, 80m, 3573948, FT8, G4IRN, IO82MO, 223, 'Rx', DG5BEA, JO43, 230, -8
1756067220, 10m, 28076274, FT8, G4IRN, IO82MO, 223, 'Rx', EA2A, IN92TD, 281, 10
1756067220, 40m, 7074290, FT8, G4IRN, IO82MO, 223, 'Rx', DL4BBY, JO32LL, 230, 1
1756067220, 40m, 7076054, FT8, G4IRN, IO82MO, 223, 'Rx', IK6CGO, JN63PF51, 248, 6
1756067220, 20m, 14076206, FT8, G4IRN, IO82MO, 223, 'Rx', SQ8BWM, KO11EG, 269, 17
1756067220, 20m, 14075765, FT8, G4IRN, IO82MO, 223, 'Rx', DL6YDF, JO42CS, 230, 9
1756067220, 20m, 14076663, FT8, G4IRN, IO82MO, 223, 'Rx', KG5EIU, EM13RB, 291, -10
1756067220, 20m, 14076415, FT8, G4IRN, IO82MO, 223, 'Rx', KA8MNT, EN90HS, 291, -8
1756067220, 20m, 14074647, FT8, G4IRN, IO82MO, 223, 'Rx', N0AT, EN34GX, 291, -14
1756067220, 15m, 21075880, FT8, G4IRN, IO82MO, 223, 'Rx', N4BAA, EM79IT52, 291, 12
1756067220, 15m, 21076506, FT8, G4IRN, IO82MO, 223, 'Rx', KA2BUG, FN30FR40, 291, -6
1756067220, 15m, 21074506, FT8, G4IRN, IO82MO, 223, 'Rx', DO5OT, JO62WL95, 230, -11
1756067220, 15m, 21075329, FT8, G4IRN, IO82MO, 223, 'Rx', KD9VFA, EN70, 291, -21
1756067220, 10m, 28076332, FT8, GE0FRE, IO82UC, 223, 'Rx', EA2A, IN92TD, 281, -15
1756067187, 40m, 7074380, FT8, G6MND, IO94GX, 223, 'Rx', M0ABG, JO02SF, 223, -5
1756067187, 40m, 7075174, FT8, G6MND, IO94GX, 223, 'Rx', SP2FNC, JO94HI, 269, -17
1756067217, 40m, 7076015, FT8, G6MND, IO94GX, 223, 'Rx', OE9GWV, JN47UE, 206, -15
1756067247, 40m, 7076351, FT8, G6MND, IO94GX, 223, 'Rx', DJ1TU, JN48TR45, 230, -10
1756067247, 40m, 7074324, FT8, G6MND, IO94GX, 223, 'Rx', OK1CT, JN69QQ, 503, -8
1756067232, 20m, 14076199, FT8, M7IJS, IO83LG, 223, 'Rx', SQ8BWM, KO11EG, 269, 17
1756067232, 20m, 14075237, FT8, M7IJS, IO83LG, 223, 'Rx', N3WT, FM19EJ85IT, 291, -8
1756067232, 20m, 14076878, FT8, M7IJS, IO83LG, 223, 'Rx', OH6FSO, KP12EO72, 224, 4
1756067232, 20m, 14074904, FT8, M7IJS, IO83LG, 223, 'Rx', IZ0GRR, JN61OU, 248, -10
1756067232, 20m, 14076367, FT8, M7IJS, IO83LG, 223, 'Rx', PY5EJ, GG54HO71, 108, -11
1756067233, 20m, 14076056, FT8, M7IJS, IO83LG, 223, 'Rx', M7LYG, IO93, 223, -17
1756067233, 20m, 14075372, FT8, M7IJS, IO83LG, 223, 'Rx', IK4ICS, JN54QN30, 248, 7
1756067246, 20m, 14074937, FT8, M7IJS, IO83LG, 223, 'Rx', 5Z4VJ, KI88JR, 430, 0
1756067247, 20m, 14075693, FT8, M7IJS, IO83LG, 223, 'Rx', OH7BDI, KP42WP, 224, -3
1756067247, 20m, 14075522, FT8, M7IJS, IO83LG, 223, 'Rx', R3DLM, KO85MT, 54, -5
1756067233, 15m, 21076446, FT8, M0BSI, IO70IC74, 223, 'Rx', IT9GMD, JM77MM62, 248, -8
1756067238, 15m, 21074496, FT8, M0BSI, IO70IC74, 223, 'Rx', DO5OT, JO62WL95, 230, -14
1756067240, 15m, 21076092, FT8, M0BSI, IO70IC74, 223, 'Rx', DG1JK, JO31DD, 230, -20
1756067187, 20m, 14076557, FT8, M7DMB, IO92LO, 223, 'Rx', SP2HF, JO94BN, 269, -24
1756067204, 20m, 14075232, FT8, M7DMB, IO92LO, 223, 'Rx', UA3DHR, KO96LM, 54, -13
1756067216, 20m, 14075684, FT8, M7DMB, IO92LO, 223, 'Rx', EW4MO, KO13UP, 27, -3
1756067217, 20m, 14074545, FT8, M7DMB, IO92LO, 223, 'Rx', IU2BWQ, JN45JI77, 248, -24
1756067219, 20m, 14076301, FT8, M7DMB, IO92LO, 223, 'Rx', PI4TX, JO22JP, 263, -24
1756067231, 20m, 14076201, FT8, M7DMB, IO92LO, 223, 'Rx', SQ8BWM, KO11EG, 269, 1
1756067232, 20m, 14075153, FT8, M7DMB, IO92LO, 223, 'Rx', F4LER, JN18, 227, -1
1756067232, 20m, 14075317, FT8, M7DMB, IO92LO, 223, 'Rx', DM2LAP, JO31, 230, -11
